Wavelength,d45_Reflectance,d_Reflectance,v45_Reflectance,v_Reflectance
300.102,0.16,6.11,1,4.01
300.469,0.14,6.1,1,3.95
300.836,0.12,6.1,0.98,3.92
301.203,0.11,6.04,1.02,3.87
301.569,0.12,6.03,1.13,3.89
301.936,0.09,6.1,1.18,3.94
302.303,0.13,6.04,1.26,3.88
302.67,0.17,6.05,1.23,3.91
303.036,0.13,5.97,1.19,3.95
303.403,0.12,5.9,1.22,3.93
303.77,0.17,5.87,1.23,3.88
304.136,0.24,5.89,1.22,3.97
304.503,0.29,5.82,1.22,3.98
304.869,0.31,5.86,1.17,4.05
305.236,0.31,5.79,1.17,3.99
305.602,0.46,5.92,1.28,4.05
305.969,0.48,5.9,1.27,4
306.335,0.49,5.92,1.18,4.12
306.702,0.54,5.91,1.22,4.03
307.068,0.58,5.93,1.36,4.05
307.434,0.54,5.94,1.44,4.03
307.8,0.48,6.06,1.49,4.1
308.167,0.44,6.1,1.53,4.08
308.533,0.42,6.05,1.5,4.11
308.899,0.38,6.08,1.55,4.06
309.265,0.3,6.11,1.46,4.04
309.631,0.21,6.05,1.37,3.95
309.997,0.17,5.94,1.33,3.93
310.363,0.23,5.87,1.27,3.93
310.729,0.19,5.71,1.24,3.92
311.095,0.25,5.86,1.27,3.99
311.461,0.21,5.8,1.28,3.97
311.827,0.18,5.83,1.36,4.06
312.193,0.15,5.88,1.37,4.13
312.559,0.19,5.92,1.42,4.04
312.925,0.17,5.99,1.48,4.06
313.291,0.12,5.96,1.4,4.02
313.656,0.11,5.92,1.41,3.97
314.022,0.14,5.97,1.4,3.98
314.388,0.18,6.01,1.42,3.96
314.753,0.28,5.95,1.46,3.98
315.119,0.39,6.14,1.49,4.12
315.485,0.34,6.04,1.45,4.09
315.85,0.39,6.13,1.57,4.07
316.216,0.32,6.02,1.55,4.11
316.581,0.36,5.98,1.5,4.11
316.947,0.42,5.95,1.49,4.2
317.312,0.39,5.98,1.43,4.19
317.677,0.28,5.79,1.39,4.15
318.043,0.33,5.93,1.51,4.17
318.408,0.33,5.98,1.44,4.21
318.773,0.38,6.08,1.47,4.29
319.139,0.29,6.05,1.53,4.32
319.504,0.29,6.06,1.53,4.22
319.869,0.24,6.06,1.51,4.25
320.234,0.29,6.11,1.49,4.24
320.599,0.24,5.99,1.32,4.27
320.964,0.26,5.92,1.3,4.18
321.329,0.22,5.83,1.28,4.06
321.694,0.27,5.92,1.21,3.99
322.059,0.21,5.85,1.17,4.02
322.424,0.22,5.79,1.25,3.96
322.789,0.16,5.79,1.23,3.91
323.154,0.25,5.83,1.36,3.89
323.519,0.23,5.87,1.37,3.92
323.884,0.25,5.97,1.37,3.94
324.249,0.27,5.87,1.44,3.98
324.613,0.32,5.93,1.44,3.95
324.978,0.4,5.98,1.38,3.97
325.343,0.47,6.01,1.42,4.09
325.708,0.45,6.04,1.39,4.15
326.072,0.45,6.01,1.38,4.19
326.437,0.46,5.96,1.41,4.19
326.801,0.44,6.01,1.41,4.21
327.166,0.36,5.94,1.48,4.24
327.53,0.26,5.87,1.44,4.15
327.895,0.22,5.81,1.42,4.03
328.259,0.15,5.78,1.4,3.89
328.624,0.15,5.82,1.44,3.89
328.988,0.19,5.8,1.42,3.83
329.352,0.13,5.65,1.45,3.79
329.717,0.18,5.72,1.41,3.74
330.081,0.19,5.71,1.47,3.87
330.445,0.2,5.75,1.5,3.89
330.809,0.22,5.69,1.54,3.97
331.174,0.19,5.69,1.6,3.98
331.538,0.14,5.72,1.69,3.95
331.902,0.25,5.88,1.79,4.09
332.266,0.23,5.81,1.78,4.07
332.63,0.3,5.91,1.86,4.08
332.994,0.32,5.97,1.93,4.17
333.358,0.36,5.97,2,4.17
333.722,0.38,5.92,2.01,4.1
334.086,0.47,5.91,2.1,4.21
334.45,0.4,5.92,2.08,4.11
334.813,0.32,5.85,2.13,4.03
335.177,0.3,5.77,2.16,3.99
335.541,0.3,5.7,2.2,3.94
335.905,0.25,5.72,2.21,3.94
336.268,0.24,5.81,2.25,4.01
336.632,0.09,5.66,2.15,3.93
336.996,0.14,5.7,2.2,3.98
337.359,0.18,5.74,2.27,4.08
337.723,0.2,5.75,2.34,4.1
338.086,0.16,5.66,2.33,4.05
338.45,0.15,5.65,2.34,3.99
338.813,0.18,5.58,2.35,3.98
339.177,0.31,5.79,2.44,4.07
339.54,0.27,5.66,2.44,4.01
339.904,0.38,5.74,2.5,4
340.267,0.35,5.76,2.52,4.01
340.63,0.36,5.79,2.5,4.04
340.994,0.39,5.74,2.57,4.1
341.357,0.39,5.77,2.67,4.02
341.72,0.35,5.68,2.69,3.94
342.083,0.36,5.7,2.69,3.92
342.446,0.34,5.7,2.72,3.95
342.809,0.37,5.74,2.67,3.94
343.172,0.32,5.77,2.73,3.93
343.536,0.32,5.85,2.72,3.87
343.899,0.3,5.8,2.65,3.86
344.261,0.28,5.79,2.67,3.84
344.624,0.28,5.8,2.71,3.86
344.987,0.25,5.75,2.7,3.82
345.35,0.16,5.66,2.71,3.66
345.713,0.18,5.56,2.74,3.72
346.076,0.2,5.5,2.81,3.79
346.439,0.22,5.47,2.89,3.9
346.801,0.28,5.45,2.93,3.84
347.164,0.26,5.49,2.98,3.9
347.527,0.29,5.51,2.99,3.89
347.889,0.39,5.53,3.07,4.04
348.252,0.41,5.6,3.12,3.95
348.615,0.32,5.59,3.06,3.89
348.977,0.31,5.62,3.09,3.86
349.34,0.23,5.6,3.09,3.95
349.702,0.3,5.68,3.11,3.95
350.064,0.35,5.72,3.17,4.01
350.427,0.35,5.69,3.16,4.05
350.789,0.3,5.71,3.11,3.97
351.152,0.36,5.74,3.11,4.04
351.514,0.35,5.69,3.08,4.04
351.876,0.4,5.63,3.14,4.01
352.238,0.37,5.51,3.12,4.02
352.601,0.29,5.46,3.12,4
352.963,0.23,5.48,3.14,3.92
353.325,0.29,5.55,3.22,4.01
353.687,0.33,5.55,3.35,3.99
354.049,0.35,5.6,3.44,3.98
354.411,0.34,5.74,3.48,4.03
354.773,0.33,5.71,3.49,3.97
355.135,0.31,5.7,3.49,3.98
355.497,0.35,5.73,3.56,3.99
355.859,0.38,5.7,3.63,3.98
356.221,0.39,5.72,3.62,3.98
356.582,0.35,5.65,3.6,3.97
356.944,0.31,5.51,3.5,3.9
357.306,0.3,5.53,3.5,3.91
357.668,0.36,5.55,3.51,3.86
358.029,0.34,5.49,3.49,3.9
358.391,0.31,5.45,3.42,3.9
358.753,0.3,5.4,3.44,3.86
359.114,0.33,5.45,3.5,3.86
359.476,0.36,5.53,3.61,3.92
359.837,0.37,5.49,3.66,3.93
360.199,0.35,5.49,3.68,3.96
360.56,0.4,5.56,3.75,3.93
360.922,0.4,5.57,3.79,3.95
361.283,0.44,5.61,3.8,4.01
361.644,0.44,5.59,3.8,4.02
362.006,0.43,5.58,3.8,3.97
362.367,0.44,5.64,3.84,3.98
362.728,0.46,5.64,3.88,4
363.09,0.38,5.62,3.85,4.03
363.451,0.37,5.6,3.85,4.01
363.812,0.3,5.55,3.82,3.95
364.173,0.25,5.52,3.82,3.92
364.534,0.27,5.5,3.8,3.92
364.895,0.28,5.53,3.81,3.96
365.256,0.24,5.5,3.83,3.91
365.617,0.28,5.49,3.89,3.94
365.978,0.28,5.47,3.88,3.96
366.339,0.28,5.45,3.92,3.98
366.7,0.35,5.53,4,4.03
367.061,0.36,5.6,4.04,4.11
367.421,0.27,5.52,3.99,4.01
367.782,0.27,5.52,3.99,4.03
368.143,0.27,5.54,3.98,4.05
368.504,0.31,5.6,4.08,4.08
368.864,0.31,5.65,4.15,4.1
369.225,0.36,5.65,4.14,4.12
369.586,0.31,5.54,4.16,4.1
369.946,0.41,5.54,4.23,4.23
370.307,0.43,5.6,4.3,4.27
370.667,0.41,5.62,4.34,4.25
371.028,0.41,5.61,4.36,4.2
371.388,0.38,5.56,4.32,4.18
371.748,0.33,5.51,4.29,4.19
372.109,0.39,5.59,4.34,4.25
372.469,0.32,5.58,4.32,4.18
372.829,0.26,5.49,4.23,4.11
373.19,0.31,5.46,4.28,4.12
373.55,0.19,5.4,4.21,4.11
373.91,0.26,5.45,4.26,4.14
374.27,0.23,5.51,4.26,4.07
374.63,0.22,5.52,4.26,4.05
374.99,0.25,5.51,4.28,4.04
375.351,0.29,5.55,4.33,4.05
375.711,0.26,5.6,4.31,4.05
376.071,0.37,5.67,4.42,4.1
376.431,0.35,5.65,4.41,4.09
376.79,0.4,5.65,4.49,4.15
377.15,0.36,5.63,4.49,4.13
377.51,0.36,5.63,4.54,4.16
377.87,0.4,5.68,4.63,4.2
378.23,0.4,5.66,4.68,4.2
378.589,0.37,5.62,4.65,4.17
378.949,0.36,5.58,4.7,4.19
379.309,0.32,5.6,4.64,4.11
379.669,0.34,5.57,4.67,4.09
380.028,0.34,5.59,4.64,4.11
380.388,0.31,5.59,4.59,4.15
380.747,0.27,5.59,4.57,4.14
381.107,0.28,5.63,4.58,4.19
381.466,0.28,5.74,4.58,4.21
381.826,0.25,5.67,4.57,4.27
382.185,0.27,5.73,4.59,4.28
382.544,0.32,5.75,4.58,4.28
382.904,0.36,5.74,4.58,4.23
383.263,0.45,5.77,4.58,4.28
383.622,0.47,5.74,4.56,4.26
383.982,0.51,5.71,4.57,4.29
384.341,0.54,5.74,4.64,4.23
384.7,0.55,5.66,4.6,4.2
385.059,0.58,5.65,4.62,4.26
385.418,0.5,5.56,4.61,4.27
385.777,0.44,5.51,4.61,4.25
386.136,0.44,5.53,4.66,4.24
386.495,0.41,5.46,4.67,4.21
386.854,0.37,5.46,4.67,4.27
387.213,0.36,5.54,4.71,4.35
387.572,0.34,5.56,4.74,4.32
387.931,0.34,5.57,4.75,4.36
388.29,0.36,5.57,4.73,4.37
388.648,0.3,5.54,4.71,4.43
389.007,0.31,5.54,4.7,4.47
389.366,0.33,5.53,4.67,4.5
389.724,0.37,5.52,4.65,4.47
390.083,0.32,5.49,4.62,4.48
390.442,0.33,5.52,4.62,4.47
390.8,0.31,5.54,4.6,4.46
391.159,0.36,5.56,4.57,4.47
391.517,0.33,5.57,4.55,4.46
391.876,0.34,5.6,4.56,4.44
392.234,0.31,5.54,4.57,4.46
392.593,0.32,5.54,4.55,4.47
392.951,0.35,5.52,4.51,4.47
393.309,0.37,5.53,4.52,4.49
393.668,0.35,5.51,4.52,4.45
394.026,0.42,5.58,4.59,4.49
394.384,0.4,5.57,4.58,4.49
394.742,0.42,5.61,4.53,4.46
395.1,0.46,5.65,4.64,4.54
395.459,0.46,5.68,4.7,4.56
395.817,0.51,5.66,4.71,4.59
396.175,0.51,5.68,4.71,4.64
396.533,0.45,5.6,4.63,4.63
396.891,0.47,5.64,4.68,4.72
397.249,0.46,5.69,4.72,4.82
397.607,0.45,5.66,4.67,4.84
397.964,0.45,5.68,4.69,4.92
398.322,0.4,5.7,4.69,4.97
398.68,0.43,5.75,4.71,5.01
399.038,0.44,5.78,4.71,5.01
399.396,0.46,5.78,4.68,4.99
399.753,0.45,5.75,4.68,4.97
400.111,0.41,5.71,4.64,4.92
400.469,0.39,5.73,4.61,4.89
400.826,0.42,5.73,4.63,4.91
401.184,0.37,5.74,4.6,4.94
401.541,0.39,5.79,4.62,5.01
401.899,0.36,5.79,4.59,5.05
402.256,0.36,5.76,4.57,5.13
402.614,0.4,5.77,4.61,5.22
402.971,0.41,5.71,4.54,5.26
403.328,0.39,5.7,4.51,5.3
403.686,0.42,5.6,4.54,5.35
404.043,0.42,5.52,4.51,5.34
404.4,0.42,5.52,4.55,5.42
404.757,0.43,5.55,4.54,5.4
405.115,0.44,5.6,4.53,5.41
405.472,0.41,5.6,4.58,5.41
405.829,0.47,5.6,4.57,5.42
406.186,0.5,5.67,4.59,5.47
406.543,0.48,5.69,4.58,5.52
406.9,0.53,5.68,4.54,5.5
407.257,0.55,5.71,4.57,5.56
407.614,0.55,5.71,4.56,5.58
407.971,0.6,5.72,4.57,5.63
408.328,0.54,5.74,4.61,5.64
408.684,0.48,5.72,4.57,5.61
409.041,0.5,5.75,4.61,5.65
409.398,0.49,5.74,4.63,5.69
409.755,0.51,5.73,4.65,5.76
410.111,0.52,5.7,4.65,5.83
410.468,0.47,5.65,4.59,5.83
410.825,0.51,5.69,4.54,5.91
411.181,0.53,5.69,4.53,6
411.538,0.53,5.67,4.51,6.04
411.894,0.49,5.68,4.49,6.06
412.251,0.46,5.65,4.45,6.05
412.607,0.45,5.62,4.44,6.04
412.963,0.47,5.65,4.47,6.11
413.32,0.44,5.57,4.43,6.11
413.676,0.43,5.56,4.45,6.16
414.032,0.44,5.57,4.48,6.16
414.389,0.45,5.56,4.49,6.21
414.745,0.4,5.51,4.49,6.25
415.101,0.39,5.53,4.43,6.28
415.457,0.39,5.54,4.44,6.32
415.813,0.38,5.55,4.48,6.34
416.169,0.39,5.57,4.47,6.38
416.526,0.39,5.57,4.45,6.46
416.882,0.37,5.57,4.42,6.49
417.238,0.4,5.66,4.4,6.54
417.593,0.4,5.68,4.45,6.61
417.949,0.42,5.65,4.44,6.64
418.305,0.45,5.69,4.44,6.71
418.661,0.46,5.7,4.42,6.73
419.017,0.46,5.7,4.43,6.75
419.373,0.49,5.66,4.48,6.79
419.728,0.49,5.66,4.49,6.79
420.084,0.47,5.62,4.46,6.82
420.44,0.46,5.68,4.5,6.9
420.795,0.44,5.66,4.47,6.96
421.151,0.45,5.66,4.54,7.02
421.506,0.44,5.64,4.54,7.04
421.862,0.44,5.71,4.53,7.11
422.217,0.44,5.68,4.49,7.17
422.573,0.46,5.69,4.48,7.24
422.928,0.46,5.66,4.46,7.29
423.284,0.46,5.67,4.49,7.32
423.639,0.46,5.67,4.46,7.35
423.994,0.49,5.7,4.44,7.43
424.35,0.5,5.68,4.46,7.5
424.705,0.51,5.68,4.5,7.6
425.06,0.53,5.67,4.55,7.63
425.415,0.55,5.69,4.59,7.67
425.77,0.57,5.7,4.57,7.71
426.125,0.57,5.69,4.57,7.8
426.48,0.55,5.68,4.56,7.8
426.835,0.54,5.68,4.6,7.87
427.19,0.59,5.72,4.65,7.91
427.545,0.57,5.75,4.66,7.99
427.9,0.58,5.77,4.67,8.05
428.255,0.58,5.78,4.69,8.15
428.61,0.57,5.79,4.72,8.19
428.965,0.58,5.85,4.78,8.27
429.32,0.58,5.85,4.73,8.26
429.674,0.55,5.83,4.71,8.26
430.029,0.56,5.84,4.77,8.31
430.384,0.53,5.81,4.73,8.37
430.738,0.53,5.82,4.76,8.39
431.093,0.54,5.86,4.78,8.4
431.447,0.55,5.82,4.83,8.48
431.802,0.56,5.89,4.87,8.66
432.156,0.56,5.94,4.91,8.84
432.511,0.63,5.96,4.96,9.07
432.865,0.67,6.02,5.02,9.33
433.22,0.73,6.03,5.1,9.62
433.574,0.74,6,5.13,9.93
433.928,0.8,6.08,5.14,10.21
434.283,0.83,6.06,5.19,10.34
434.637,0.84,6.04,5.16,10.41
434.991,0.79,6.06,5.09,10.35
435.345,0.78,6.06,5.09,10.3
435.699,0.73,6.05,5.06,10.19
436.053,0.72,6.06,5.1,10.06
436.407,0.69,6.07,5.11,9.97
436.761,0.68,6.07,5.11,9.87
437.115,0.69,6.1,5.19,9.83
437.469,0.7,6.08,5.22,9.77
437.823,0.68,6.1,5.27,9.72
438.177,0.72,6.07,5.27,9.66
438.531,0.73,6.08,5.26,9.63
438.885,0.69,6.01,5.28,9.53
439.238,0.66,5.97,5.31,9.45
439.592,0.67,5.96,5.3,9.38
439.946,0.64,5.97,5.3,9.36
440.3,0.64,5.94,5.3,9.26
440.653,0.61,5.94,5.31,9.26
441.007,0.59,5.96,5.29,9.24
441.36,0.6,5.99,5.32,9.27
441.714,0.6,6.05,5.32,9.31
442.067,0.56,6.05,5.31,9.34
442.421,0.56,6.05,5.33,9.36
442.774,0.54,6.06,5.32,9.44
443.127,0.52,6.08,5.31,9.41
443.481,0.53,6.07,5.35,9.42
443.834,0.53,6.09,5.32,9.45
444.187,0.51,6.06,5.3,9.44
444.541,0.52,6.09,5.34,9.44
444.894,0.54,6.12,5.37,9.48
445.247,0.57,6.15,5.42,9.47
445.6,0.55,6.13,5.44,9.51
445.953,0.56,6.15,5.44,9.57
446.306,0.56,6.14,5.47,9.54
446.659,0.59,6.16,5.55,9.62
447.012,0.59,6.14,5.52,9.65
447.365,0.61,6.14,5.54,9.67
447.718,0.61,6.14,5.53,9.72
448.071,0.63,6.18,5.55,9.75
448.424,0.62,6.17,5.56,9.7
448.776,0.65,6.2,5.59,9.74
449.129,0.64,6.21,5.55,9.7
449.482,0.68,6.24,5.61,9.71
449.834,0.66,6.26,5.6,9.72
450.187,0.65,6.26,5.6,9.69
450.54,0.67,6.29,5.64,9.7
450.892,0.71,6.32,5.69,9.81
451.245,0.69,6.33,5.71,9.84
451.597,0.68,6.34,5.73,9.89
451.95,0.67,6.36,5.75,9.98
452.302,0.66,6.37,5.79,9.99
452.655,0.67,6.38,5.82,10.04
453.007,0.68,6.4,5.83,10.1
453.359,0.65,6.36,5.82,10.09
453.712,0.68,6.39,5.79,10.1
454.064,0.68,6.41,5.82,10.1
454.416,0.68,6.45,5.82,10.1
454.768,0.68,6.44,5.79,10.11
455.12,0.68,6.49,5.81,10.14
455.472,0.66,6.44,5.81,10.13
455.824,0.64,6.49,5.83,10.12
456.176,0.64,6.49,5.9,10.15
456.528,0.68,6.48,5.93,10.16
456.88,0.64,6.45,5.96,10.14
457.232,0.64,6.42,5.97,10.14
457.584,0.63,6.39,5.96,10.09
457.936,0.62,6.4,5.98,10.11
458.288,0.65,6.37,5.99,10.15
458.64,0.62,6.35,5.98,10.18
458.991,0.63,6.38,5.98,10.24
459.343,0.68,6.4,5.99,10.3
459.695,0.66,6.42,6.04,10.31
460.046,0.67,6.41,6.06,10.4
460.398,0.67,6.41,6.06,10.43
460.749,0.65,6.45,6.04,10.44
461.101,0.67,6.44,6.03,10.42
461.452,0.6,6.41,6.06,10.39
461.804,0.59,6.41,6.06,10.42
462.155,0.6,6.43,6.02,10.43
462.507,0.65,6.53,6.06,10.44
462.858,0.71,6.57,6.11,10.53
463.209,0.73,6.64,6.18,10.52
463.56,0.76,6.68,6.26,10.59
463.912,0.77,6.69,6.24,10.64
464.263,0.8,6.7,6.26,10.66
464.614,0.82,6.74,6.34,10.71
464.965,0.77,6.69,6.35,10.77
465.316,0.73,6.71,6.33,10.76
465.667,0.72,6.68,6.31,10.84
466.018,0.7,6.71,6.27,10.88
466.369,0.72,6.76,6.31,10.94
466.72,0.69,6.78,6.33,10.93
467.071,0.65,6.77,6.3,10.95
467.422,0.67,6.79,6.34,10.97
467.773,0.66,6.75,6.37,10.98
468.123,0.68,6.76,6.42,10.98
468.474,0.67,6.75,6.41,10.97
468.825,0.68,6.77,6.43,11
469.175,0.68,6.76,6.43,11.07
469.526,0.71,6.75,6.44,11.14
469.877,0.72,6.73,6.4,11.14
470.227,0.72,6.8,6.39,11.18
470.578,0.7,6.83,6.39,11.2
470.928,0.72,6.81,6.43,11.27
471.279,0.74,6.79,6.39,11.26
471.629,0.73,6.8,6.46,11.28
471.979,0.75,6.85,6.47,11.29
472.33,0.77,6.93,6.53,11.37
472.68,0.78,6.87,6.55,11.45
473.03,0.79,6.9,6.54,11.47
473.381,0.76,6.93,6.55,11.48
473.731,0.72,6.93,6.56,11.54
474.081,0.76,6.94,6.52,11.62
474.431,0.77,6.98,6.55,11.69
474.781,0.75,6.97,6.53,11.73
475.131,0.77,7.03,6.53,11.74
475.481,0.79,7.03,6.51,11.82
475.831,0.82,7.02,6.51,11.86
476.181,0.86,7.06,6.52,11.91
476.531,0.84,7.09,6.51,11.91
476.881,0.85,7.05,6.47,11.89
477.231,0.87,7.08,6.5,11.89
477.58,0.88,7.09,6.52,11.91
477.93,0.89,7.07,6.53,11.89
478.28,0.88,7.09,6.54,11.94
478.63,0.86,7.08,6.55,11.96
478.979,0.84,7.07,6.53,11.94
479.329,0.8,7.07,6.54,11.95
479.678,0.79,7.07,6.5,11.99
480.028,0.77,7.09,6.46,11.99
480.377,0.75,7.12,6.5,12.09
480.727,0.76,7.24,6.54,12.25
481.076,0.78,7.39,6.65,12.54
481.426,0.82,7.62,6.88,12.94
481.775,0.85,7.85,7.11,13.4
482.124,0.86,8.05,7.37,13.84
482.473,0.89,8.24,7.57,14.29
482.823,0.91,8.44,7.73,14.68
483.172,0.93,8.59,7.89,14.96
483.521,0.95,8.67,7.99,15.14
483.87,0.96,8.69,7.99,15.27
484.219,0.98,8.72,7.99,15.36
484.568,1,8.78,8,15.45
484.917,1,8.88,8.05,15.58
485.266,1,8.97,8.14,15.78
485.615,1.01,9.05,8.23,16.01
485.964,0.99,9.13,8.29,16.22
486.313,0.98,9.17,8.34,16.28
486.662,0.96,9.15,8.34,16.31
487.01,0.95,9.08,8.28,16.23
487.359,0.94,8.95,8.2,16.06
487.708,0.92,8.79,8.04,15.82
488.056,0.91,8.64,7.88,15.59
488.405,0.91,8.54,7.74,15.36
488.754,0.93,8.48,7.65,15.29
489.102,0.94,8.45,7.6,15.23
489.451,0.95,8.44,7.59,15.28
489.799,0.97,8.44,7.58,15.32
490.148,0.98,8.47,7.6,15.36
490.496,0.98,8.43,7.59,15.35
490.844,1,8.37,7.59,15.34
491.193,0.99,8.29,7.55,15.21
491.541,0.99,8.22,7.47,15.05
491.889,0.98,8.1,7.36,14.86
492.238,0.97,8,7.23,14.71
492.586,0.96,7.86,7.13,14.54
492.934,0.94,7.79,7.05,14.4
493.282,0.92,7.74,6.96,14.26
493.63,0.91,7.74,6.9,14.26
493.978,0.88,7.7,6.87,14.25
494.326,0.87,7.7,6.87,14.25
494.674,0.89,7.7,6.88,14.27
495.022,0.88,7.72,6.88,14.32
495.37,0.89,7.75,6.88,14.4
495.718,0.88,7.74,6.89,14.47
496.065,0.89,7.75,6.92,14.5
496.413,0.92,7.76,6.93,14.56
496.761,0.93,7.8,6.95,14.65
497.109,0.89,7.8,6.98,14.7
497.456,0.91,7.83,6.99,14.73
497.804,0.95,7.83,7.02,14.79
498.151,0.97,7.86,7.05,14.83
498.499,0.96,7.9,7.01,14.86
498.846,0.94,7.91,7,14.89
499.194,0.96,7.92,7.02,14.9
499.541,1,7.98,7.01,14.97
499.889,1,8,6.97,15.02
500.236,1,8.08,6.95,15.01
500.583,1.03,8.14,6.98,15.11
500.931,1.02,8.13,7,15.22
501.278,1.02,8.17,7,15.26
501.625,1.03,8.19,7.01,15.33
501.972,1.04,8.22,7.05,15.42
502.319,1.04,8.24,7.1,15.52
502.666,1.04,8.22,7.12,15.62
503.014,1,8.22,7.12,15.67
503.361,1.03,8.25,7.16,15.68
503.707,1.02,8.28,7.17,15.73
504.054,1.02,8.31,7.12,15.84
504.401,1,8.3,7.09,15.81
504.748,1.01,8.33,7.07,15.89
505.095,0.99,8.36,7.08,15.95
505.442,1.01,8.38,7.09,16.04
505.789,1.01,8.42,7.04,16.18
506.135,1.01,8.45,7.07,16.28
506.482,1,8.45,7.11,16.36
506.829,0.99,8.49,7.08,16.49
507.175,0.99,8.53,7.16,16.53
507.522,0.96,8.5,7.14,16.58
507.868,0.94,8.49,7.16,16.68
508.215,0.93,8.49,7.2,16.77
508.561,0.95,8.52,7.16,16.9
508.908,0.95,8.54,7.15,17.01
509.254,0.97,8.55,7.15,17.1
509.6,1,8.59,7.14,17.21
509.947,1.04,8.64,7.15,17.36
510.293,1.05,8.71,7.15,17.42
510.639,1.07,8.78,7.12,17.55
510.985,1.06,8.79,7.15,17.63
511.331,1.07,8.8,7.17,17.74
511.677,1.06,8.82,7.22,17.82
512.023,1.01,8.8,7.19,17.9
512.37,1.03,8.85,7.23,17.99
